action,file,cdn_url,status,notes
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\mbu e.JPG,https://mbu-assets.vercel.app/img/clothing/mbu e.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\MBU f.JPG,https://mbu-assets.vercel.app/img/clothing/MBU f.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\mbu g.JPG,https://mbu-assets.vercel.app/img/clothing/mbu g.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\clothing\mbu h.JPG,https://mbu-assets.vercel.app/img/clothing/mbu h.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v1\cover.jpg,https://mbu-assets.vercel.app/img/findbruno/v1/cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v1\instructions.jpg,https://mbu-assets.vercel.app/img/findbruno/v1/instructions.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v1\puzzle.jpg,https://mbu-assets.vercel.app/img/findbruno/v1/puzzle.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v1\solution.jpg,https://mbu-assets.vercel.app/img/findbruno/v1/solution.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v2\cover.jpg,https://mbu-assets.vercel.app/img/findbruno/v2/cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v2\instructions.jpg,https://mbu-assets.vercel.app/img/findbruno/v2/instructions.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v2\puzzle.jpg,https://mbu-assets.vercel.app/img/findbruno/v2/puzzle.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v2\solution.jpg,https://mbu-assets.vercel.app/img/findbruno/v2/solution.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v3\cover.jpg,https://mbu-assets.vercel.app/img/findbruno/v3/cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v3\instructions.jpg,https://mbu-assets.vercel.app/img/findbruno/v3/instructions.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v3\puzzle.jpg,https://mbu-assets.vercel.app/img/findbruno/v3/puzzle.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v3\solution.jpg,https://mbu-assets.vercel.app/img/findbruno/v3/solution.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v4\cover.jpg,https://mbu-assets.vercel.app/img/findbruno/v4/cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v4\instructions.jpg,https://mbu-assets.vercel.app/img/findbruno/v4/instructions.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v4\puzzle.jpg,https://mbu-assets.vercel.app/img/findbruno/v4/puzzle.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\findbruno\v4\solution.jpg,https://mbu-assets.vercel.app/img/findbruno/v4/solution.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\action_plan_left.jpg,https://mbu-assets.vercel.app/img/homepage/action_plan_left.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\action_plan_right.jpg,https://mbu-assets.vercel.app/img/homepage/action_plan_right.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\books.jpg,https://mbu-assets.vercel.app/img/homepage/books.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\clothing_custom.jpg,https://mbu-assets.vercel.app/img/homepage/clothing_custom.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\logo.jpg,https://mbu-assets.vercel.app/img/homepage/logo.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\songs.jpg,https://mbu-assets.vercel.app/img/homepage/songs.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\woodworking.jpg,https://mbu-assets.vercel.app/img/homepage/woodworking.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\clothing_home\clothing_home_1.jpg,https://mbu-assets.vercel.app/img/homepage/clothing_home/clothing_home_1.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\clothing_home\clothing_home_2.jpg,https://mbu-assets.vercel.app/img/homepage/clothing_home/clothing_home_2.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\clothing_home\clothing_home_3.jpg,https://mbu-assets.vercel.app/img/homepage/clothing_home/clothing_home_3.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\clothing_home\clothing_home_4.jpg,https://mbu-assets.vercel.app/img/homepage/clothing_home/clothing_home_4.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\find_bruno\V1 Cover.jpg,https://mbu-assets.vercel.app/img/homepage/find_bruno/V1 Cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\find_bruno\V2 Cover.jpg,https://mbu-assets.vercel.app/img/homepage/find_bruno/V2 Cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\find_bruno\V3 Cover.jpg,https://mbu-assets.vercel.app/img/homepage/find_bruno/V3 Cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\homepage\find_bruno\V4 Cover.jpg,https://mbu-assets.vercel.app/img/homepage/find_bruno/V4 Cover.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 002.jpg,https://mbu-assets.vercel.app/img/songs/MBU 002.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 003.jpg,https://mbu-assets.vercel.app/img/songs/MBU 003.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 004.jpg,https://mbu-assets.vercel.app/img/songs/MBU 004.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 005.jpg,https://mbu-assets.vercel.app/img/songs/MBU 005.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 006.JPG,https://mbu-assets.vercel.app/img/songs/MBU 006.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 007.JPG,https://mbu-assets.vercel.app/img/songs/MBU 007.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 010a.JPG,https://mbu-assets.vercel.app/img/songs/MBU 010a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 010b.jpg,https://mbu-assets.vercel.app/img/songs/MBU 010b.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 010c.JPG,https://mbu-assets.vercel.app/img/songs/MBU 010c.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 011.jpg,https://mbu-assets.vercel.app/img/songs/MBU 011.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 011a.jpg,https://mbu-assets.vercel.app/img/songs/MBU 011a.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 017.JPG,https://mbu-assets.vercel.app/img/songs/MBU 017.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 019.JPG,https://mbu-assets.vercel.app/img/songs/MBU 019.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 019a.JPG,https://mbu-assets.vercel.app/img/songs/MBU 019a.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 021.JPG,https://mbu-assets.vercel.app/img/songs/MBU 021.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 024.jpg,https://mbu-assets.vercel.app/img/songs/MBU 024.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\songs\MBU 029a.jpg,https://mbu-assets.vercel.app/img/songs/MBU 029a.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 001.jpg,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 001.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\story\Magnificent Michigan Epoxy Table 003.JPG,https://mbu-assets.vercel.app/img/story/Magnificent Michigan Epoxy Table 003.JPG,deleted_from_code,CDN 200; removed from code repo
